title,difficulty,university,price,rating,level,subject,is_paid,skills,source
Spreadsheets for Beginners using Google Sheets,Beginner,Coursera Project Network,,4.7,,,,spreadsheet approximation error message Accounting analysis bookkeeping Microsoft Excel Chart error Data Analysis business business-essentials,coursera
Leadership and Emotional Intelligence,Beginner,Indian School of Business,,4.7,,,,Emotional Intelligence leadership listening Leadership and Management empathy Communication Change Management Conflict Management Leadership Development emotional competence business leadership-and-management,coursera
Managing Supply Chain Disruption During COVID-19,Intermediate,University of Illinois at Urbana-Champaign,,4.7,,,,fixed asset supply chain Resilience Supply Chain Costs Supply Chain Strategy chaining supply chain network risk pool evaluation supply chain management business leadership-and-management,coursera
Regulated Competition in Healthcare Systems: Theory & Practice,Beginner,Erasmus University Rotterdam,,4.7,,,,principal agent problem payment systems incentive market (economics) health insurance health system health care competition law health care reform consumer choice life-sciences healthcare-management,coursera
"Random Models, Nested and Split-plot Designs",Intermediate,Arizona State University,,4.5,,,,Experimental Design randomness linear model General Statistics variance Experiment Random Effects Model restricted randomization factorial experiment Estimation data-science probability-and-statistics,coursera
"Modern Robotics, Course 5: Robot Manipulation and Wheeled Mobile Robots",Advanced,Northwestern University,,4.7,,,,normal (geometry) ordered pair linear span c process control convex hull robotics optimal control motion planning convex set shortest path problem physical-science-and-engineering mechanical-engineering,coursera
Fundamentals of Network Communication,Intermediate,University of Colorado System,,4.4,,,,error detection and correction internet internet protocol suite modeling osi model data transmission telecommunications network Computer Networking socket Communication computer-science computer-security-and-networks,coursera
Predictive Modeling and Machine Learning with MATLAB,Intermediate,MathWorks,,4.7,,,,supervised learning statistical classification hyperparameter Machine Learning Regression Analysis Training Regression Matlab observation modeling data-science machine-learning,coursera
Networking and Volunteerism for Career Success,Advanced,University of California San Diego,,4.3,,,,interest market (economics) Planning career career development Benefits personal advertisement modeling it service management volunteer management personal-development personal-development,coursera
Crafting Strategies for Innovation Initiatives for Corporate Entrepreneurs,Advanced,"University of Maryland, College Park",,4.2,,,,' Managers seeking to assemble creative people and resources ' Technical specialists desiring to become part of an internal venture and ' Consultants who advise companies on ways to launch and grow internal ventures. You will learn strategies to help you launch a corporate venture with coursework focused on four key areas: ' Examining how to audit a company's internal environment to establish a framework for its innovation capabilities ' Creating a plan for an organizational structure and operational format that incorporates key roles and players for internal ventures within the company ' Analyzing corporate culture to identify creative capabilities that leverage the company's best practices for innovation ' Evaluating innovation portfolios and compose innovation strategies that are best aligned with the implementation potential within the company. Try this course for FREE at https://www.coursera.org/learn/corporate-entrepreneurs-innovation-strategy Strategy Innovation Entrepreneurship internal entrepreneur organizational culture Audit,coursera
Portfolio and Risk Management,Beginner,University of Geneva,,4.7,,,,value at risk Leadership and Management portfolio optimization mathematical optimization modern portfolio theory portfolio theories investment Finance Risk Management Risk business finance,coursera
Auditing I: Conceptual Foundations of Auditing,Intermediate,University of Illinois at Urbana-Champaign,,4.6,,,,Audit audit risk financial auditing financial statement Accounting auditor independence Finance Risk financial audit internal control business business-essentials,coursera
Building a Business Presence With Facebook Marketing,Beginner,Coursera Project Network,,4.8,,,,Digital Marketing Accounting project networks Machine Learning audience Advertising project Marketing Sales social media marketing business marketing,coursera
Finance for Everyone: Decisions,,McMaster University,,4.7,,,,debt Finance ordered pair financial literacy personal finance Peer Review personal advertisement market (economics) stock market interest business finance,coursera
Rapid Prototyping of Embedded Interface Designs,Intermediate,University of Colorado Boulder,,,,,,java annotation internet of things rapid prototyping user interface design Computer Programming voice user interface signature interaction design Operating Systems Product Development computer-science design-and-product,coursera
FinTech Risk Management,Beginner,The Hong Kong University of Science and Technology,,4.6,,,,financial institution Leadership and Management FinTech business continuity management process Risk financial regulation internal control Risk Management Change Management business business-essentials,coursera
Solar Energy Systems Overview,Beginner,The State University of New York,,4.7,,,,Civil Engineering energy Solar Energy Photovoltaic (PV) Systems Solar Systems physics wind energy Solar Photovoltaic Installation Electrical Engineering Energy Engineering physical-science-and-engineering environmental-science-and-sustainability,coursera
Industrial IoT on Google Cloud Platform,Advanced,Google Cloud,,4.5,,,,dataflow analysis publish subscribe pattern Cloud Computing internet of things Cloud Storage Cloud Platforms Google Cloud Platform internet bigquery computer-science software-development,coursera
Customer Segmentation and Prospecting,,Northwestern University,,4.7,,,,Sales Sales Goals Sales Meetings market (economics) Strategy market segmentation Prospecting email Communication Sales Strategy business business-essentials,coursera
Multiplatform Mobile App Development with Web Technologies: Ionic and Cordova,Advanced,The Hong Kong University of Science and Technology,,4.4,,,,Android Development Angular web Mobile Development node.js Javascript mobile app Web Development ionic (mobile app framework) iOS Development computer-science mobile-and-web-development,coursera
Enjoyable Econometrics,Beginner,Erasmus University Rotterdam,,4.2,,,,Studentized Residual Econometrics Student's t-Test Chi-Squared Distribution Regression Analysis General Statistics Correlation And Dependence empirical evidence Regression Simple Linear Regression data-science probability-and-statistics,coursera
Build an App in Android Studio using Static Files,Beginner,Coursera Project Network,,4.1,,,,quotation download Java Programming drop-down list android studio project mine java (software platform) project ordered pair upload computer-science mobile-and-web-development,coursera
Safety in the Utility Industry,Beginner,The State University of New York,,4.8,,,,safety engineering safety hazard about safety hazard hazards safety utility Leadership and Management safety equipment fire safety physical-science-and-engineering electrical-engineering,coursera
"Content, Advertising & Social IMC",Beginner,Northwestern University,,4.7,,,,marketing strategy Advertising Social Media earned media Marketing media market a/b testing social media marketing social marketing Strategy business marketing,coursera
Introduction to Power Electronics,Advanced,University of Colorado Boulder,,4.7,,,,Boosting (Machine Learning) Electronic Circuits Electronic Design simulation electronics analysis modeling Design Analysis power electronics Power Electronics Design physical-science-and-engineering electrical-engineering,coursera
Rails with Active Record and Action Pack,Beginner,Johns Hopkins University,,4.7,,,,authorization SQL data structure alignment active record pattern ruby on rails rubygems Databases ruby (programming language) authentication sql injection computer-science software-development,coursera
Building Your Leadership Skills,,HEC Paris,,4.5,,,,Leadership and Management Leadership Development leadership awareness active listening self-confidence self-awareness Communication listening confidence business leadership-and-management,coursera
Accounting for Business Decision Making: Measurement and Operational Decisions,Advanced,University of Illinois at Urbana-Champaign,,3.6,,,,Sales Accounting cost Leadership and Management bookkeeping Operations Management analysis Management Accounting Decision Making Financial Accounting business business-essentials,coursera
"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",,"University of California, Irvine",,4.4,,,,Leadership and Management prioritization strategic reserve Estimation time management personal advertisement schedule task management organizing (management) Planning business business-essentials,coursera
Build Multilayer Perceptron Models with Keras,Beginner,Coursera Project Network,,4.6,,,,Feedforward Neural Network Keras front and back ends mutual exclusion Tensorflow Perceptron Machine Learning Deep Learning Artificial Neural Networks Multilayer Perceptron data-science machine-learning,coursera
Financial Reporting Capstone,Advanced,University of Illinois at Urbana-Champaign,,4.5,,,,fixed asset Accounting Analysis Finance journaling file system international financial reporting standards Accounting income statement financial statement adjusting entries accounts receivable business business-essentials,coursera
Songwriting: Writing the Lyrics,Intermediate,Berklee College of Music,,4.8,,,,guitar acoustics Video Editing s-box music piano euler's totient function Writing human voice Poetry Writing arts-and-humanities music-and-art,coursera
Healthcare Marketplace,Beginner,University of Minnesota,,4.4,,,,medical devices Healthcare Management medical device price discrimination insurance Leadership and Management medical technology health insurance market (economics) Marketing business finance,coursera
Developing An Entrepreneurial Mindset: First Step Towards Success,Intermediate,Michigan State University,,4.4,,,,behavior Business E-Commerce lean startup event management lean manufacturing business plan Business Process Management Business Strategy Entrepreneurship business entrepreneurship,coursera
Capstone Project: Business Technology Management,Intermediate,Indian School of Business,,4.3,,,,investment annual report project plan resource allocation project project planning technology management business technology management Leadership and Management communication planning business business-strategy,coursera
Business English: Basics,Advanced,The Hong Kong University of Science and Technology,,4.5,,,,analysis speech business case english language Human Learning language Writing Business Communication grammar Communication language-learning learning-english,coursera
Supply Chain Sourcing,Beginner,Rutgers the State University of New Jersey,,4.7,,,,evaluation Supplier Evaluation Leadership and Management Strategic Sourcing supply chain Procurement chaining Sourcing Best Practices sources Supply Chain Sourcing business business-strategy,coursera
"Recruiting, Hiring, and Onboarding Employees",Beginner,University of Minnesota,,4.6,,,,Leadership and Management image resolution employment resource Recruiting Human Resources Recruitment resource management onboarding Employee Selection business business-essentials,coursera
Programming with Scratch,Advanced,The Hong Kong University of Science and Technology,,3.9,,,,connectionism prince2 Word2vec bioperl Algorithms Machine Learning pdca multiliteracy opms scratch (programming language) computer-science software-development,coursera
Teaching Impacts of Technology: Workplace of the Future,Advanced,University of California San Diego,,4.6,,,,cognitive load scalability internet Cloud Computing metadata Computer Programming Cloud Storage Training fault tolerance teaching social-sciences education,coursera
Foundations of Public Health Practice: Behaviour & Behaviour Change,Advanced,Imperial College London,,4.8,,,,public health Communication Behavioral Economics one health social cognitive theory psychologies physical activity health belief model psychology health psychology life-sciences public-health,coursera
Essential Google Cloud Infrastructure: Core Services,,Google Cloud,,4.7,,,,Leadership and Management bigquery Cloud Infrastructure identity management Cloud Platforms Cloud Computing network monitoring Google Cloud Platform Cloud Storage resource information-technology cloud-computing,coursera
"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",Intermediate,Duke University,,4.6,,,,Disease Control ascariasis schistosomiasis parasites parasitology infection echinococcosis toxoplasmosis filariasis disease life-sciences basic-science,coursera
"The Modern World, Part One: Global History from 1760 to 1910",Beginner,University of Virginia,,4.8,,,,Art History foreign policy india analysis the family of man global history general knowledge military international relations arts-and-humanities history,coursera
Solar Energy System Design,Intermediate,The State University of New York,,4.7,,,,Energy Systems renewable energy Electrical Design arrays Circuit Design energy Electrical Engineering Systems Design Solar Energy specification (technical standard) physical-science-and-engineering electrical-engineering,coursera
Validity and Bias in Epidemiology,Intermediate,Imperial College London,,4.9,,,,observational error Selection Bias Epidemiology Clinical Study Design Confounding Causality Causal Inference interaction (statistics) risk factors bias life-sciences public-health,coursera
"Imagery, Automation, and Applications",Intermediate,"University of California, Davis",,4.8,,,,modeling satellite Geographic Information System Model Building ArcGIS statistical classification Cartography Imagery Analysis analysis remote sensing physical-science-and-engineering environmental-science-and-sustainability,coursera
Measuring Causal Effects in the Social Sciences,Intermediate,University of Copenhagen,,4.0,,,,Regression Analysis Causal Inference General Linear Model Regression measurement impact evaluation Causality Difference In Differences inference Instrumental Variable social-sciences governance-and-society,coursera
Protecting Business Innovations via Strategy,Intermediate,The Hong Kong University of Science and Technology,,4.7,,,,global Strategy competitiveness pricing strategies supply chain pricing market (economics) shareholder value service innovation Innovation business business-strategy,coursera
Ecosystems of California,Beginner,"University of California, Santa Cruz",,4.6,,,,chaparral biodiversity evolution agriculture ecosystems ecology marine biology forest ecosystem desert life-sciences basic-science,coursera
Unethical Decision Making in Organizations,Intermediate,University of Lausanne,,4.8,,,,case study Social Psychology Decision Making psychology reason rationality heuristic interpretation fear ethics life-sciences psychology,coursera
How Computers Work,Beginner,University of London,,4.5,,,,web Computer Architecture Computer Science c programming lambda calculus client server model debugging Calculus internet Computer Programming computer-science computer-security-and-networks,coursera
HPV-Associated Oral and Throat Cancer: What You Need to Know,Beginner,Icahn School of Medicine at Mount Sinai,,4.8,,,,continuing medical education dentistry hpv vaccine oral cancer Cancer head and neck cancer medical education vaccines infection Risk Factor life-sciences basic-science,coursera
Making the Case for Robotic Process Automation,Advanced,Association of International Certified Professional Accountants,,4.2,,,,Benefits flow network Planning process lent pitfall! robotics ordered pair software business case information-technology data-management,coursera
"Be a Leader, Develop a Leader",Advanced,Case Western Reserve University,,4.7,,,,stress positive psychology Benefits emotions compassion coaching leadership motivation mindfulness psychologies business leadership-and-management,coursera
Influencer Marketing Strategy,Advanced,Rutgers the State University of New Jersey,,4.3,,,,influencer marketing Social Media Influencing marketing strategy social media marketing content marketing Advertising Strategy Marketing social media influencers business marketing,coursera
Digital Media and Marketing Strategies,Advanced,University of Illinois at Urbana-Champaign,,4.4,,,,market (economics) Digital Marketing Planning media market Social Media digital media Marketing digital strategy Strategy marketing strategy business marketing,coursera
Intro to International Marketing,Beginner,Yonsei University,,4.7,,,,international finance market (economics) marketing myopia global marketing Marketing Strategy brand global Leadership and Management marketing strategy business marketing,coursera
Introduction to OpenCL on FPGAs,Beginner,Intel,,3.8,,,,compiler parallel computing graphics processing units Computer Programming opencl application programming interfaces autosar .properties cuda unified parallel c computer-science software-development,coursera
Building Conversational Experiences with Dialogflow,Intermediate,Google Cloud,,4.3,,,,Experiment Google App Engine natural language Cloud Computing Google Cloud Platform Natural Language Processing Cloud Platforms dialog system language basic access authentication computer-science software-development,coursera
Docker Essentials & Building a Containerized Web Application,Beginner,Coursera Project Network,,4.8,,,,project hand ordered pair web command-line interface experience Deep Learning Web Design project mine web application information-technology cloud-computing,coursera
Applying Investment Decision Rules for Startups,Beginner,Yonsei University,,4.4,,,,investment decisions capital budgeting project payback period decision tree real options valuation decision rule real options investment relative change and difference business finance,coursera
Qualitative Data Collection Methods,Beginner,Emory University,,4.8,,,,interview focus group observational study observation research methods punctuation qualitative research quantitative research facilitation project life-sciences health-informatics,coursera
Assessment for Learning,Beginner,University of Illinois at Urbana-Champaign,,4.5,,,,educational psychology Natural Language Processing evaluation fundraising educational assessment assessment for learning Child Psychology education intelligence tests augmented assignment social-sciences education,coursera
Financial Engineering and Risk Management Part I,Intermediate,Columbia University,,4.4,,,,pricing financial engineering modeling Risk financial risk derivative (finance) derivative Microsoft Excel financial modeling Finance business finance,coursera
Teach English Now! Capstone Project 2,Beginner,Arizona State University,,4.7,,,,grammar editing Planning language film Writing lesson plan english language teaching communications technology language-learning learning-english,coursera
The Economics of Agro-Food Value Chains,Beginner,Technische Universit't M'nchen (TUM),,4.5,,,,pricing strategies supply chain pricing Market Research reputation food quality chaining value chain sustainability market (economics) social-sciences economics,coursera
Machine Learning Algorithms: Supervised Learning Tip to Tail,Intermediate,Alberta Machine Intelligence Institute,,4.7,,,,classification algorithms Regression decision tree statistical classification euler's totient function Machine Learning Algorithms mathematical optimization supervision Machine Learning Algorithms data-science machine-learning,coursera
3D Printing Hardware,Advanced,University of Illinois at Urbana-Champaign,,3.9,,,,checklist file shortcut calibration 3D Printing interactivity interfaces virtual artifact software Digital Design system u business entrepreneurship,coursera
Business English for Cross-cultural Communication,Advanced,The Hong Kong University of Science and Technology,,4.8,,,,Communication international communication Business Communication Culture cross-cultural communication ethics english language language global translation language-learning learning-english,coursera
Cloud Networking,Advanced,University of Illinois at Urbana-Champaign,,4.4,,,,Network Infrastructure distributed computing tcp congestion control Computer Networking routing Cloud Computing Cloud Infrastructure Python Programming network congestion data centers computer-science computer-security-and-networks,coursera
Build a Machine Learning Web App with Streamlit and Python,Beginner,Coursera Project Network,,4.7,,,,Logistic Regression web Python Programming Machine Learning Scikit-Learn interactivity Computer Programming web application Pandas Web Development data-science machine-learning,coursera
Python Geospatial Data Analysis,Beginner,Coursera Project Network,,4.0,,,,crime Geographic Information System Geovisualization project ArcGIS SQL Heat Map Python Programming Map Data Analysis data-science data-analysis,coursera
Lesson | Business English Skills: Introducing Yourself in Business Settings,Intermediate,University of Washington,,4.2,,,,english language Average rowe FinTech Business Psychology open-book management law language Business Analysis wharton fintech language-learning learning-english,coursera
Getting Started with Blazor WASM,Beginner,Coursera Project Network,,4.8,,,,interactivity .properties modeling html path (variable) responsiveness project networks running Python Programming project computer-science mobile-and-web-development,coursera
Establishing a Professional 'Self' through Effective Intercultural Communication,Advanced,National University of Singapore,,4.4,,,,interpersonal communication Building Relationships international relations intercultural communication cross-cultural communication leadership Social Networking intrapersonal communication Communication workplace communication personal-development personal-development,coursera
Biases and Portfolio Selection,Beginner,Rice University,,4.5,,,,loss aversion Finance value premium trading stock stock market behavioral finance investment efficient-market hypothesis prospect theory business finance,coursera
Building Smart Business Assistants with IBM Watson,Beginner,Coursera Project Network,,4.7,,,,interactivity natural language preview Accounting Cloud Computing english language career language IBM Cloud project information-technology cloud-computing,coursera
Introduction to Pointers and Memory Management in C/C++,Beginner,Coursera Project Network,,4.3,,,,memory address c++ universal windows platform apps smart pointer c programming standard library debuggers memory management supercomputer memory computer-science software-development,coursera
Using Seesaw for Student Learning,Beginner,Coursera Project Network,,4.9,,,,journaling file system child Training positive psychology parent ageing experience confidence logic gate family social-sciences education,coursera
Music and Social Action,Intermediate,Yale University,,4.6,,,,virtual tour music experience art history philosophy positive youth development Writing education civil society arts-and-humanities music-and-art,coursera
Enhancing Communication with Remind,Beginner,Coursera Project Network,,4.9,,,,documents tutor online learning Machine Learning project mine scaled agile framework c dynamic memory allocation parenting Communication parent social-sciences education,coursera
Security Operations and Administration,Advanced,(ISC)',,4.7,,,,configuration management separation of duties key (cryptography) Security Operations security awareness Software Engineering owasp management process security release management information-technology security,coursera
Machine Learning: Classification,Beginner,University of Washington,,4.7,,,,decision tree Human Learning Gradient classification algorithms stochastic Algorithms Regression statistical classification Machine Learning gradient descent data-science machine-learning,coursera
Git + GitHub for Open Source Collaboration,Intermediate,Coursera Project Network,,4.1,,,,c standard library git (software) php differential forms open source video game development github Java Programming software Software Engineering information-technology support-and-operations,coursera
Communicating Climate Change and Health,Beginner,Yale University,,4.7,,,,climate change social influence collective action efficacy target audience Communication perception social norms approach belief behavior life-sciences public-health,coursera
"Revolutionary Ideas: Borders, Elections, Constitutions, Prisons",Intermediate,Rutgers the State University of New Jersey,,5.0,,,,Art History crime semantics law elections Economics Criminal Justice prisons constitution prison arts-and-humanities philosophy,coursera
Multimodal Literacies: Communication and Learning in the Era of Digital Media,Beginner,University of Illinois at Urbana-Champaign,,4.8,,,,resource teaching relative change and difference multiliteracy digital media Communication media literacy fundraising education u.s. securities and exchange commission social-sciences education,coursera
International Water Law,Beginner,University of Geneva,,4.6,,,,water law resource diplomatics cooperation law Environmental Law arbitration international law measurement environmental impact assessment social-sciences law,coursera
Applying Machine Learning to your Data with GCP,Advanced,Google Cloud,,4.7,,,,Applied Machine Learning Human Learning Feature Selection Cloud Platforms bigquery SQL microservices Google Cloud Platform Machine Learning Cloud Computing information-technology data-management,coursera
Image Understanding with TensorFlow on GCP,Advanced,Google Cloud,,4.6,,,,floating point Google Cloud Platform linear model Machine Learning Tensorflow Human Learning statistical classification Artificial Neural Networks Deep Learning Convolutional Neural Network data-science machine-learning,coursera
Create a text adventure game with Ink,Beginner,Coursera Project Network,,4.5,,,,Map web choice language internet flow network interactivity Software Engineering scripting language dynamic web page computer-science software-development,coursera
Functional Programming in Scala Capstone,Advanced,'cole Polytechnique F'd'rale de Lausanne,,4.4,,,,Apache Information Visualization Big Data Apache Spark scala programming unified parallel c data extraction Computer Programming parallel computing functional programming data-science data-analysis,coursera
Enterprise Architecture,Advanced,Peter the Great St. Petersburg Polytechnic University,,4.5,,,,business architecture Leadership and Management archimate the open group architecture framework enterprise architect business process enterprise architecture Software Architecture business logic architecture business business-essentials,coursera
Delivery Problem,Intermediate,University of California San Diego,,4.7,,,,travelling salesman problem approximation algorithm Permutations dynamic programming Discrete Mathematics Algorithms mathematical optimization branch and bound Sales exact algorithm computer-science algorithms,coursera
Make Your Pick-Ups Look Cool in Unity (Intro to Animation 1),Beginner,Coursera Project Network,,4.4,,,,parent .properties Writing language computer languages project particle system table of keyboard shortcuts Average Software Engineering computer-science software-development,coursera
Introduction to Computer Vision with Watson and OpenCV,Beginner,IBM,,4.2,,,,opencv image processing Computer Vision Machine Learning tesseract (software) k-means clustering Computer Programming object detection Python Programming upload data-science machine-learning,coursera
Software Design Threats and Mitigations,Advanced,University of Colorado System,,4.8,,,,buffer overflow software design instruction set sql injection bitcoin software project management public-key cryptography proof-of-work system code injection key (cryptography) computer-science software-development,coursera
Stock Analysis: Create a Buy Signal Filter using R and the Quantmod Package,Beginner,Coursera Project Network,,4.7,,,,technical analysis financial markets Risk rstudio Data Science project R Programming analytics Loss Function Data Analysis data-science data-analysis,coursera
Introduction to Complex Analysis,Intermediate,Wesleyan University,,4.8,,,,Mapping topology Power Series analysis numbers (spreadsheet) Mathematics Integral euler's totient function Geometry complex analysis math-and-logic math-and-logic,coursera
The Unix Workbench,Intermediate,Johns Hopkins University,,4.7,,,,command-line interface github linux console bash (unix shell) makefile unix Cloud Computing Shell Commands unix shells shell script data-science machine-learning,coursera
Health Systems Development: A Focus on Health Service Delivery and Human Resources for Health,Beginner,Imperial College London,,4.3,,,,system c global health Office Administration Healthcare Management organizational behavior experience health system disease analysis life-sciences public-health,coursera
Strategic Business Management - Macroeconomics,Intermediate,"University of California, Irvine",,4.7,,,,inflation government budget balance unemployment trading monetary policy fiscal policy demand modeling recession Leadership and Management Taxes business business-strategy,coursera
Principles of Photo Composition and Digital Image Post-Production,Intermediate,Michigan State University,,4.7,,,,exif photography principle editing film digital single-lens reflex camera ordered pair image file formats viewer digital photography arts-and-humanities music-and-art,coursera
Using SAS Viya REST APIs with Python and R,Advanced,SAS,,4.8,,,,predictive modelling models of computation Natural Language Processing recurrent neural network Network Model Time Series representational state transfer Deep Learning object detection application programming interfaces data-science data-analysis,coursera
Strategic Sales Management Final Project,Advanced,Funda''o Instituto de Administra''o,,4.5,,,,project Planning Sales Strategy cause marketing Marketing sales management Sales Leadership and Management strategic management Intelligence Analysis business business-strategy,coursera
Human-Centered Design: an Introduction,Advanced,University of California San Diego,,4.6,,,,Human Computer Interaction interview interaction design User Research evaluation heuristic evaluation User Experience paper prototyping heuristic rapid prototyping computer-science design-and-product,coursera
Innovation Career Lessons from a Master,Beginner,Technion - Israel Institute of Technology,,4.8,,,,kiss principle Innovation career experience counseling personal advertisement i-deas Entrepreneurship Creativity personality business entrepreneurship,coursera
Designing and Implementing Your Coaching Strategy,Advanced,"University of California, Davis",,4.7,,,,utility logotherapy Algebra Human Resources coaching facilitation listening psychology augmented assignment asset business leadership-and-management,coursera
Teaching in University Science Laboratories (Developing Best Practice),Intermediate,University of Amsterdam,,4.7,,,,physics experiments chemistry experiments employment chemistry Experiment student engagement teaching hand opinion assessment for learning physical-science-and-engineering chemistry,coursera
Principles of Computing (Part 1),Beginner,Rice University,,4.8,,,,Mathematics Problem Solving pygame Algorithms principle Combinatorics Computer Science Python Programming euler's totient function Computer Programming computer-science software-development,coursera
Proactive Computer Security,Beginner,University of Colorado System,,4.4,,,,methodology penetration test metasploit project combinatorial map security owasp breach (security exploit) information security data breaches security management information-technology security,coursera
Implementing Parent Feedback with Google Forms,Beginner,Coursera Project Network,,4.9,,,,project parenting Receiving Professional Development email discern parent project mine teaching 360-degree feedback social-sciences education,coursera
A tecnologia da produ''o musical,Advanced,Berklee College of Music,,4.8,,,,piano guitar sound acoustics com file Cabling music software Digital Audio Workstation Oscilloscope arts-and-humanities music-and-art,coursera
Intellectual Humility: Science,Intermediate,The University of Edinburgh,,4.7,,,,intellectual psychology open-mindedness thought experience child cognition social norms approach heuristic Social Psychology arts-and-humanities philosophy,coursera
"Planning: Principled, Proposing, Proofing, and Practicing to a Success Plan",Advanced,Michigan State University,,4.2,,,,Planning time limit proposition franchising Entrepreneurship principle business plan value proposition enabling ordered pair business entrepreneurship,coursera
Qualitative Research Design,Beginner,Emory University,,5.0,,,,problem statement quantitative research observation research methods Qualitative Analysis qualitative research focus group Research Design research ethics Recruitment life-sciences health-informatics,coursera
Perform Real-Time Object Detection with YOLOv3,,Coursera Project Network,,3.1,,,,Computer Vision digital image processing object detection modeling Workstations Machine Learning command-line interface Natural Language Processing system u Python Programming data-science machine-learning,coursera
Introduction to G Suite,Beginner,Google Cloud,,4.7,,,,domain name system latex google services .properties organizational structure Accounting resource nsa suite a cryptography digital signature provisioning computer-science computer-security-and-networks,coursera
Epidemics - the Dynamics of Infectious Diseases,Intermediate,The Pennsylvania State University,,4.7,,,,public health epidemic Epidemiology disease surveillance disease biology evolution infectious diseases vaccination Epidemics life-sciences basic-science,coursera
Enterprise System Management and Security,Intermediate,University of Colorado System,,4.6,,,,osi model enterprise private network enterprise software Leadership and Management security management security subnetwork information security enterprise system server administrator information-technology security,coursera
Competitive Programmer's Core Skills,Intermediate,Saint Petersburg State University,,4.2,,,,greedy algorithm integer overflow matrix chain multiplication Algorithms computer program Computer Programming edit distance competitiveness dynamic programming segment tree computer-science algorithms,coursera
Evaluating User Interfaces,Advanced,University of Minnesota,,4.7,,,,usability testing user interface design usability goals usability cognitive walkthrough usability lab user interface evaluation User Experience heuristic evaluation computer-science design-and-product,coursera
Getting Started with Azure DevOps Boards,Beginner,Coursera Project Network,,4.8,,,,project networks online learning project sorting workload web DevOps recursively enumerable set scrolling Online Machine Learning computer-science design-and-product,coursera
Genomics: Decoding the Universal Language of Life,Intermediate,University of Illinois at Urbana-Champaign,,4.7,,,,biology gene DNA dnas transcription factor protein structure protein transcription factors genomics genome life-sciences research,coursera
Learning Mindsets & Skills,Advanced,High Tech High Graduate School of Education,,3.9,,,,blame Student's t-Distribution prezi education belongingness belief praise family partnership Human Learning social-sciences education,coursera
Computational Geometry,Advanced,Saint Petersburg State University,,3.3,,,,graphs Computer Graphics monotone polygon Geometry search tree convex hull Algorithms sweep line algorithm range tree nielsen ratings computer-science algorithms,coursera
Planning & Design of Sanitation Systems and Technologies,Intermediate,'cole Polytechnique F'd'rale de Lausanne,,4.7,,,,hydraulics Planning architecture Urban Planning Transportation Engineering Leadership and Management sanitation Wastewater Engineering Sustainable Architecture sustainability physical-science-and-engineering environmental-science-and-sustainability,coursera
A Start Guide: Product Marketing Using G Suite,Beginner,Coursera Project Network,,4.7,,,,Product Marketing stock Leadership and Management project leadership Sales Marketing Management product lining Marketing Average business marketing,coursera
The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy,Beginner,ESSEC Business School,,4.5,,,,pricing strategies Leadership and Management hotel Forecasting revenue management analysis pricing Strategy Hotel Management revenue business business-strategy,coursera
Brand Marketing and SEO Tools using Wix,Beginner,Coursera Project Network,,4.6,,,,usability target audience brand brand marketing Marketing Marketing Management search engine optimization web Social Media website builder business marketing,coursera
"Impacting the Opioid Crisis: Prevention, Education, and Practice for Non-Prescribing Providers",Beginner,University of Michigan,,4.9,,,,noise patient clinical pharmacy pain management prevention social work vital signs reason Planning drugs life-sciences public-health,coursera
Product Development: Customer Journey Mapping with Miro,Beginner,Coursera Project Network,,4.9,,,,cost benefit analysis Mapping project Product Development Product Management Planning Strategy Map business plan customer experience business business-strategy,coursera
Introduction to Who Wrote Shakespeare,Beginner,University of London,,4.3,,,,Writing entry point confirmation bias arm belief daughter stylometry doubt analysis art arts-and-humanities history,coursera
Create Your First Multithreaded Application in Java,Beginner,Coursera Project Network,,4.5,,,,Banking threadsafe ordered pair failure project graphics processing units recursively enumerable set race condition java (software platform) thread pool computer-science software-development,coursera
CSS Animated Components with ReactJS,Beginner,Coursera Project Network,,4.8,,,,ordered pair javascript framework Javascript React (web framework) CSS web rendering (computer graphics) project relative change and difference sprite (computer graphics) computer-science software-development,coursera
Google Cloud Fundamentals for Azure Professionals: Core Infrastructure,,Google Cloud,,4.8,,,,Network Infrastructure data centers use case Google Cloud Platform Databases Cloud Computing virtual machine software scalability recursively enumerable set information-technology cloud-computing,coursera
Finance for Everyone Capstone Project,Advanced,McMaster University,,4.6,,,,organizing (management) voting write-off personal finance expense Peer Review Communication Entrepreneurship insurance companies Finance business finance,coursera
Internet of Things: How did we get here?,Advanced,University of California San Diego,,3.7,,,,Electrical Engineering robotics electronics smart device arduino signal processing internet phone-in internet of things history physical-science-and-engineering electrical-engineering,coursera
Introduction to Line Balancing Using Precedence Diagram,Beginner,Coursera Project Network,,4.6,,,,Workstations approximation process project mine Data Analysis project precedence diagram method Average numbers (spreadsheet) backcasting data-science data-analysis,coursera
"AI Workflow: Machine Learning, Visual Recognition and NLP",Intermediate,IBM,,4.6,,,,Regression linear model Machine Learning multiclass classification Artificial Neural Networks Boosting (Machine Learning) statistical classification evaluation Hyperparameter Optimization Convolutional Neural Network data-science machine-learning,coursera
